,SMILES,NMR Acceptor Number (AN),Water Exchange Rate (WERC),pK$_h$,Electrostatic Acceptor Number (E$_a$),Covalent Acceptor Number (C$_a$),Infrared Xanthone Complexes (IrX),Infrared TPPO Complexes (IrTPPO),Infrared EthylAcetate Complexes (IrAcOEt),Oxidation Peak (Ox),Complexing Power (CP)
199,c1ccc(OB(Oc2ccccc2)Oc2ccccc2)cc1,62.8,,,,,,,,,
200,Fc1c(F)c(F)c(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,86.2,,,,,,,,,
201,Fc1c(F)c(F)c(OB(Oc2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,87.3,,,,,,,,,
202,O=S(=O)(OB(F)F)C(F)(F)F,96.4,,,,,,,,,
203,CCB(CC)CC,24.1,,,,,,,,,
204,OB(O)c1ccccc1,49.1,,,,,,,,,
205,c1ccc(B2Oc3ccccc3O2)cc1,65.4,,,,,,,,,
206,Fc1ccccc1B1Oc2ccccc2O1,73.6,,,,,,,,,
207,Fc1cccc(B2Oc3ccccc3O2)c1,69.6,,,,,,,,,
208,Fc1ccc(B2Oc3ccccc3O2)cc1,69.0,,,,,,,,,
209,Fc1ccc(B2Oc3ccccc3O2)c(F)c1,73.5,,,,,,,,,
210,Fc1cccc(F)c1B1Oc2ccccc2O1,73.4,,,,,,,,,
211,Fc1cc(B2Oc3ccccc3O2)cc(F)c1F,73.9,,,,,,,,,
212,Fc1cc(F)c(B2Oc3ccccc3O2)c(F)c1,70.1,,,,,,,,,
213,Fc1c(F)c(F)c(B2Oc3ccccc3O2)c(F)c1F,81.5,,,,,,,,,
214,Fc1c(F)c(F)c(B2OCCO2)c(F)c1F,23.3,,,,,,,,,
215,Fc1c(F)c(F)c(B2OC(c3ccccc3)C(c3ccccc3)O2)c(F)c1F,29.2,,,,,,,,,
216,CC1(C)COB(c2c(F)c(F)c(F)c(F)c2F)OCC1(C)C,13.7,,,,,,,,,
217,Fc1c(F)c(F)c(B2OCc3ccccc3CO2)c(F)c1F,30.6,,,,,,,,,
218,CC1(C)OB(c2ccc(F)cc2)OC1(C)C,14.0,,,,,,,,,
219,II,,,,1.0,1.0,,,,,
220,ClI,,,,5.1,830.0,,,,,
221,Sc1ccccc1,,,,0.99,198.0,,,,,
222,Oc1ccccc1,,,,4.33,442.0,,,,,
223,Cc1ccc(O)cc1,,,,4.18,404.0,,,,,
224,Oc1ccc(F)cc1,,,,4.17,446.0,,,,,
225,Oc1cccc(F)c1,,,,4.42,506.0,,,,,
226,Oc1ccc(Cl)cc1,,,,4.34,478.0,,,,,
227,Oc1cccc(C(F)(F)F)c1,,,,4.48,530.0,,,,,
228,OCC(F)(F)F,,,,3.88,451.0,,,,,
229,OC(C(F)(F)F)C(F)(F)F,,,,5.93,623.0,,,,,
230,c1cc[nH]c1,,,,2.54,295.0,,,,,
231,ClC(Cl)Cl,,,,3.02,159.0,,,,,
232,C[Al](C)C,,,,16.9,1.43,,,,,
233,BrI,,,,2.41,1.56,,,,,
234,CC(C)(C)c1ccc(O)cc1,,,,4.06,387.0,,,,,
235,C[Ga](C)C,,,,13.3,881.0,,,,,
236,CC[Ga](CC)CC,,,,12.6,593.0,,,,,
237,C[In](C)C,,,,15.3,654.0,,,,,
238,CC(C)(C)O,,,,2.04,300.0,,,,,
239,Cl[Si](Cl)(Cl)Cl,,,,,,,-31.0,4.0,,
