;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
140;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Mo+5];;;;;;;;64.0;18.0;;;;;;;;;;;;
141;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Nb+5];;;106.1;;;;;85.0;44.0;;;;;;;;;;;;
142;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Re+5];;;;;;;;63.0;58.0;;;;;;;;;;;;
143;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Sb+5];;;;;;;;53.0;52.0;252.0;;;;;;;;;;;
144;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ta+5];;;;;;;;75.0;28.0;;;;;;;;;;;;
145;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[W+5];;;;;;;;72.0;0.0;;;;;;;;;;;;
146;[Cl-].[Cl-].[Cl-].[Cl-].[Ge+4];;;;;;;;27.0;-66.0;;;4.0;;;;;;;;;
147;[Cl-].[Cl-].[Cl-].[Cl-].[Hf+4];;;;;;;;47.0;58.0;;;;;;;;;;;;
148;[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4];;;;;;;;77.0;78.0;133.0;;128.0;;;;;;;;;
149;[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4];;;;;;;;96.0;92.0;175.0;;128.0;;;;;;;;;
150;[Cl-].[Cl-].[Cl-].[Cl-].[Zr+4];;;;;;;;75.0;90.0;167.0;;128.0;;;;;;;;;
151;[Cl-].[Cl-].[Cl-].[Cr+3];;;;;;;;;;;-34.0;;;;;;;;;;
152;[Cl-].[Cl-].[Cl-].[Fe+3];;;;;;;;100.0;-40.0;141.0;-43.0;85.0;;;;;;;;;
153;[Cl-].[Cl-].[Cl-].[Ga+3];432.0;;;;;;;91.0;86.0;;-34.0;141.0;;;;;;;;;
154;[Cl-].[Cl-].[Cl-].[In+3];469.0;;;;;;;92.0;-66.0;59.0;-34.0;113.0;;;;;;;;;
155;[Cl-].[Cl-].[Cl-].[Mo+3];;;;;;;;70.0;-14.0;;;;;;;;;;;;
156;[Cl-].[Cl-].[Cl-].[Os+3];;;;;;;;34.0;-44.0;;;;;;;;;;;;
157;[Cl-].[Cl-].[Cl-].[Re+3];;;;;;;;60.0;-16.0;;;;;;;;;;;;
158;[Cl-].[Cl-].[Cl-].[Ru+3];;;116.2;;;;;36.0;-12.0;;;;;;;;;;;;
159;[Cl-].[Cl-].[Cl-].[Sb+3];;;;;;;;47.0;54.0;;-76.5;;;;;;;;;;
160;[Cl-].[Cl-].[Cl-].[Sc+3];;;;;;;;68.0;-94.0;;;;;;;;;;;;
161;[Cl-].[Cl-].[Cl-].[Tl+3];;;;;;;;84.0;-22.0;;-33.0;;;;;;;;;;
162;[Cl-].[Cl-].[Cl-].[V+3];;;78.2;;;;;;;;;;;;;;;;;;
163;[Cl-].[Cl-].[Cl-].[Y+3];;;;;;;;12.0;-98.0;;;;;;;;;;;;
164;[Cl-].[Cl-].[Cl-].[Yb+3];;;;;;;;28.0;-98.0;;;;;;;;;;;;
165;[Cl-].[Cl-].[Co+2];;;;;;;;36.0;-82.0;50.0;;;;;;;;;;;
166;[Cl-].[Cl-].[Fe+2];;;87.7;;;;;22.0;-68.0;;-42.0;;;;;;;;;;
167;[Cl-].[Cl-].[Hg+2];;;60.8;;;;;;;52.0;;;;;;;;;;;
168;[Cl-].[Cl-].[Hg+][Hg+];;;24.8;;;;;;;;;;;;;;;;;;
169;[Cl-].[Cl-].[Mg+2];;;;;;;;;;;-26.0;;;-1.56;;;;-1.32;-1.67;8;
170;[Cl-].[Cl-].[Mn+2];;;;;;;;;;;;;;-1.5;;;;;;;
171;[Cl-].[Cl-].[O-2].[Zr+4];;;93.5;;;;;;;;;;;;;;;;;;
172;[Cl-].[Cl-].[Pt+2];;;;;;;;64.0;-78.0;;;;;;;;;;;;
